1, George, , Washington, 1789-1797, Independent, In 1967% to ensure that he would never be outranked% George Washington was awarded the highest military rank that will ever be bestowed: General of the Armies of the United States., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/washington.jpg
2, John, , Adams, 1797-1801, Federalist, John Adams was the first president to live in the white house., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/johnadams.jpg
3, Thomas, , Jefferson, 1801-1809, Democratic-Republican, Thomas Jefferson invented the Moldboard plow% polygraph copy machine% spherical sundial% seven-day-clock% and macaroni and cheese., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/thomasjefferson.jpg
4, James, , Madison, 1809-1817, Democratic-Republican, James Madison was 5’4” and less than 100 pounds. He was also the key author of the bill of rights., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-madison.jpg
5, James, , Monroe, 1817-1825, Democratic-Republican, James Monroe died on July 4th% 1831% exactly five years after both Thomas Jefferson and John Adams., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-monroe.jpg
6, John, Quincy, Adams, 1825-1829, Democratic-Republican, John Quincy Adams enjoyed skinny dipping in the Potomac., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/john_quincy_adams.jpg
7, Andrew, , Jackson, 1829-1837, Democrat, Andrew Jackson survived 103 duels and was once gifted a 1%400 pound wheel of cheese., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/andrew-jackson.jpg
8, Martin, , Van Buren, 1837-1841, Democrat, Martin Van Buren’s first language was Dutch% along with the rest of his hometown of “Old Kinderhook%” which inspired the term O.K., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/martin_van_buren.jpg
9, William, Henry, Harrison, 1841-1841, Whig, Despite a strict medical regime of opium and enemas% William Henry Harrison died after just thirty three days in office., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/william_harrison.jpg
10, John, , Tyler, 1841-1845, Whig, After vetoing two bills supported by his party% John Tyler’s entire cabinet resigned except for his Secretary of State., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/john_tyler.jpg
11, James, Knox, Polk, 1845-1849, Democrat, James K Polk was the first president to have his picture taken., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-polk.jpg
12, Zachary, , Taylor, 1849-1850, Whig, Zachary Taylor rode into battle sidesaddle and didn’t know he was running for president until weeks after his nomination., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/zachary-taylor.jpg
13, Millard, , Fillmore, 1850-1853, Whig, Millard Fillmore ran for president as part of the Know-Nothing party and lost in every state except Maryland., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/millard_fillmore.jpg
14, Franklin, , Pierce, 1853-1857, Democrat, Franklin Pierce’s only life goal was to be president% which he did not do well. While leaving office he was asked what he would do next% his response: “There’s nothing left to do but get drunk.”, https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/franklin-pierce.jpg
15, James, , Buchanan, 1857-1861, Democrat, James Buchanan raised pygmy goats% had different colored eyes% and was the first president to wear blue jeans in the Oval Office., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-buchanan.jpg
16, Abraham, , Lincoln, 1861-1865, Republican, Lincoln was an accomplished wrestler who was defeated only once in 300 matches% and has been enshrined in the Wrestling Hall of Fame., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/abraham_lincoln.jpg
17, Andrew, , Johnson, 1865-1869, Democrat, In his youth% Johnson apprenticed as a tailor% and even as president he never stopped making his own suits., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/andrew-johnson.jpg
18, Ulysses, Simpson, Grant, 1869-1877, Republican, Grant was unable to stand the sight of blood% so much so that he overcook his meat in order to avoid seeing any semblance of blood in it., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/ulysses_s_grant.jpg
19, Rutherford, Birchard, Hayes, 1877-1881, Republican, Hayes was the only president to be wounded in the Civil War — not once% but four times., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/hayesresize.jpg
20, James, Abram, Garfield, 1881-1881, Republican, Not only was Garfield ambidextrous% he could write Latin with one hand and Greek with the other at the same time., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/james-garfield.jpg
21, Chester, Alan, Arthur, 1881-1885, Republican, On his last day in office% four women offered Arthur their hands in marriage., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/chester-arthur.jpg
22, Grover, , Cleveland, 1885-1889, Democrat, Grover Cleveland's epithelium% a small tumor that was removed from the roof of his mouth% resides at the Mutter Museum in Philadelphia., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/grover-cleveland.jpg
23, Benjamin, , Harrison, 1889-1893, Republican, Benjamin Harrison was the first president to have electricity in the White House% but he was so scared of getting electrocuted that he would never touch the light switches himself., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/benjamin-harrison.jpg
24, Grover, , Cleveland, 1893-1897, Democrat, Grover Cleveland was the only President elected to two nonconsecutive terms., https://www.hallofgovernors.ny.gov/sites/default/files/themes/hallofgovernors/images/28GroverCleveland.jpg
25, William, , McKinley, 1897-1901, Republican, William McKinley almost always wore a red carnation on his lapel as a good luck charm., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/william_mckinley_0.jpg
26, Theodore, , Roosevelt, 1901-1909, Republican, Teddy Roosevelt was shot in an assassination attempt while delivering a speech in Milwaukee% and he completed the 90-minute speech with the bullet still lodged in his chest., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/theodore_roosevelt.jpg
27, William, Howard, Taft, 1909-1913, Republican, William Taft% also known as "Big Bill”% was the largest president in American history., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/william_howard_taft.jpg
28, Woodrow, , Wilson, 1913-1921, Democrat, Woodrow Wilson's face is on the $100%000 dollar bill% which very few have ever laid hands on., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/woodrow-wilson.jpg
29, Warren, Gamaliel, Harding, 1921-1923, Republican, An advanced student% Harding earned a Bachelor of Science degree in 1882 at the age of 17.  , https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/hardingresize.jpg
30, Calvin, , Coolidge, 1923-1929, Republican, Calvin Coolidge had a morning ritual in which someone rubbed Vaseline on his head while he ate breakfast in bed., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/calvin-coolidge.jpg
31, Herbert, Clark, Hoover, 1929-1933, Republican, Hoover was a member of the first class to attend Stanford University from which he graduated with a degree in geology., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/herbert-hoover.jpg
32, Franklin, Delano, Roosevelt, 1933-1945, Democrat, Roosevelt was the first President whose mother was allow to vote for him% and the only president to be elected for four terms., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/franklin-d.-roosevelt.jpg
33, Harry, S, Truman, 1945-1953, Democrat, Before becoming the President of the United States of America% Harry Truman owned a haberdashery business (a men’s outfitter)% which went bankrupt in 1921., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/harry-s.-truman.jpg
34, Dwight, David, Eisenhower, 1953-1961, Republican, Eisenhower banished the White House’s squirrels because they were ruining his putting green., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/dwight-eisenhower.jpg
35, John, Fitzgerald, Kennedy, 1961-1963, Democrat, One of JFK's legs was shorter than the other% which contributed to his chronic back problems., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/john_f_kennedy.jpg
36, Lyndon, Baines, Johnson, 1963-1969, Democrat, President Johnson was famous among White House staffers for having no shame about asking people to follow him into the bathroom to continue conversations as he relieved himself., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/lyndon_b_johnson.jpg
37, Richard, Milhous, Nixon, 1969-1974, Republican, Nixon refused to shake hands with anybody from San Francisco., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/richard-nixon.jpg
38, Gerald, Rudolph, Ford, 1974-1977, Republican, Ford worked as a fashion model to help pay for law school% and was featured on the cover of Cosmopolitan magazine and in the pages of Look., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/gerald-ford.jpg
39, James, Earl, Carter, 1977-1981, Democrat, Carter is the only U.S. president to have lived in housing subsidized for the poor., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/jimmy_carter.jpg
40, Ronald, Wilson, Reagan, 1981-1989, Republican, While modeling for a sculpting class in 1940% Reagan was deemed as having "the most nearly perfect male figure" by the Division of Fine Arts at the University of Southern California., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/ronald-reagan.jpg
41, George, Herbert-Walker, Bush, 1989-1993, Republican, During World War II% Bush flew 58 combat missions for the Navy% and was awarded three Air Medals and the Distinguished Flying Cross for his service., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/george-h.w.-bush_0.jpg
42, William, Jefferson, Clinton, 1993-2001, Democrat, When Clinton was in high school% he played the saxophone in a jazz trio known as the "Three Blind Mice.", https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/william_clinton.jpg
43, George, Walker, Bush, 2001-2009, Republican, In his senior year at high school% Bush was the head cheerleader of his team., https://www.whitehouse.gov/sites/default/files/imagecache/gallery_img_full/image/image_file/portrait_georgewbush_324x404.jpg
44, Barack, Hussein, Obama, 2009-2016, Democrat, President Obama applied to appear in a black pin-up calendar while at Harvard but was rejected by the all-female committee., https://upload.wikimedia.org/wikipedia/commons/e/e9/Official_portrait_of_Barack_Obama.jpg